Erasure code scheme,buffer size,number of cores,hardware type,encode runtime [usec],decode runtime [usec],encode bandwidth [MB/S],decode bandwidth [MB/S]
17-3,1073741824,2,intel core i7-6700 CPU-3.40GHZ,153579932,153094888,6991.413435,7013.564032
17-3,1073741824,2,intel core i7-6700 CPU-3.40GHZ,160387371,157745919,6694.671739,6806.773873
17-3,1073741824,3,intel core i7-6700 CPU-3.40GHZ,185502074,182106581,5788.295391,5896.221839
17-3,1073741824,3,intel core i7-6700 CPU-3.40GHZ,182669531,184586162,5878.050894,5817.016771
17-3,1073741824,3,intel core i7-6700 CPU-3.40GHZ,187757482,183414489,5718.764379,5854.176548
17-3,1073741824,4,intel core i7-6700 CPU-3.40GHZ,223971408,222088860,4794.097647,4834.73507
17-3,1073741824,4,intel core i7-6700 CPU-3.40GHZ,228105715,223555484,4707.206919,4803.017044
17-3,1073741824,4,intel core i7-6700 CPU-3.40GHZ,227612335,221996085,4717.410416,4836.755567
17-3,1073741824,4,intel core i7-6700 CPU-3.40GHZ,228338968,225737678,4702.39841,4756.586537
17-3 CACHED_TEST,6528,1,intel core i7-6700 CPU-3.40GHZ,2159193,6618211,12093.40712,3945.477109
17-3 CACHED_TEST,6528,2,intel core i7-6700 CPU-3.40GHZ,2253058,6838496,11589.581804,3818.383457
17-3 CACHED_TEST,6528,2,intel core i7-6700 CPU-3.40GHZ,2221127,6830414,11756.19404,3822.901511
17-3 CACHED_TEST,6528,3,intel core i7-6700 CPU-3.40GHZ,2267404,7025799,11516.25383,3716.587964
17-3 CACHED_TEST,6528,3,intel core i7-6700 CPU-3.40GHZ,2281002,6997640,11447.60066,3731.543778
17-3 CACHED_TEST,6528,3,intel core i7-6700 CPU-3.40GHZ,2276887,6971441,11468.289819,3745.567093
17-3 CACHED_TEST,6528,4,intel core i7-6700 CPU-3.40GHZ,2261905,7124753,11544.251416,3664.969158
17-3 CACHED_TEST,6528,4,intel core i7-6700 CPU-3.40GHZ,2297433,7110421,11365.72862,3672.356391
